"기간","자치구","인구"
2006,"동작구",414978
2006,"관악구",545995
2006,"서초구",413970
2006,"강남구",564658
2006,"송파구",612527
2006,"강동구",465203
2007,"종로구",173843
2007,"중구",137435
2007,"용산구",248362
2007,"성동구",341620
2007,"광진구",386367
2007,"동대문구",385825
2007,"중랑구",431406
2007,"성북구",477358
2007,"강북구",348702
2007,"도봉구",378559
2007,"노원구",621192
2007,"은평구",463473
2007,"서대문구",357174
2007,"마포구",400392
2007,"양천구",508566
2007,"강서구",566495
2007,"구로구",445095
2007,"금천구",264323
2007,"영등포구",439151
2007,"동작구",414839
2007,"관악구",550766
2007,"서초구",411951
2007,"강남구",569176
2007,"송파구",630691
2007,"강동구",469021
2008,"종로구",179754
2008,"중구",138811
2008,"용산구",251043
2008,"성동구",322679
2008,"광진구",387254
2008,"동대문구",381663
2008,"중랑구",432845
2008,"성북구",481419
2008,"강북구",345754
2008,"도봉구",376698
2008,"노원구",620808
2008,"은평구",463364
2008,"서대문구",340731
2008,"마포구",393241
2008,"양천구",507899
2008,"강서구",583545
2008,"구로구",448696
2008,"금천구",265244
2008,"영등포구",443537
2008,"동작구",410934
2008,"관악구",551873
2008,"서초구",412065
2008,"강남구",565624
2008,"송파구",676580
2008,"강동구",473973
2009,"종로구",177543
2009,"중구",137861
2009,"용산구",251200
2009,"성동구",316064
2009,"광진구",386513
2009,"동대문구",374277
2009,"중랑구",429700
2009,"성북구",484457
2009,"강북구",343912
2009,"도봉구",372398
2009,"노원구",615161
2009,"은평구",470782
2009,"서대문구",336649
2009,"마포구",392313
2009,"양천구",506684
2009,"강서구",579196
2009,"구로구",449613
2009,"금천구",263116
2009,"영등포구",441747
2009,"동작구",407973
2009,"관악구",547311
2009,"서초구",431131
2009,"강남구",569499
2009,"송파구",689296
2009,"강동구",489655
2010,"종로구",179362
2010,"중구",141200
2010,"용산구",257143
2010,"성동구",316892
2010,"광진구",388775
2010,"동대문구",379343
2010,"중랑구",432302
2010,"성북구",497692
2010,"강북구",350007
2010,"도봉구",370734
2010,"노원구",615425
2010,"은평구",492925
2010,"서대문구",333871
2010,"마포구",400464
2010,"양천구",505223
2010,"강서구",580506
2010,"구로구",452667
2010,"금천구",264544
2010,"영등포구",445648
2010,"동작구",413814
2010,"관악구",549736
2010,"서초구",440021
2010,"강남구",577070
2010,"송파구",693144
2010,"강동구",496939
2011,"종로구",177419
2011,"중구",141567
2011,"용산구",259288
2011,"성동구",308767
2011,"광진구",386673
2011,"동대문구",378534
2011,"중랑구",428672
2011,"성북구",494422
2011,"강북구",348740
2011,"도봉구",367949
2011,"노원구",608062
2011,"은평구",498350
2011,"서대문구",324529
2011,"마포구",398627
2011,"양천구",505605
2011,"강서구",575846
2011,"구로구",458908
2011,"금천구",264256
2011,"영등포구",439555
2011,"동작구",413658
2011,"관악구",546350
2011,"서초구",439012
2011,"강남구",573003
2011,"송파구",690466
2011,"강동구",500516
2012,"종로구",173148
2012,"중구",140807
2012,"용산구",255294
2012,"성동구",306868
2012,"광진구",384269
2012,"동대문구",375683
2012,"중랑구",423655
2012,"성북구",490639
2012,"강북구",346493
2012,"도봉구",364454
2012,"노원구",600829
2012,"은평구",505902
2012,"서대문구",324733
2012,"마포구",393576
2012,"양천구",500533
2012,"강서구",573794
2012,"구로구",454478
2012,"금천구",260734
2012,"영등포구",426876
2012,"동작구",416268
2012,"관악구",540520
2012,"서초구",439998
2012,"강남구",569997
2012,"송파구",680150
2012,"강동구",492728
2013,"종로구",167867
2013,"중구",137990
2013,"용산구",251925
2013,"성동구",306571
2013,"광진구",381439
2013,"동대문구",376445
2013,"중랑구",421237
2013,"성북구",485347
2013,"강북구",341921
2013,"도봉구",360609
2013,"노원구",594027
2013,"은평구",508111
2013,"서대문구",324067
2013,"마포구",391098
2013,"양천구",496934
2013,"강서구",575236
2013,"구로구",452168
2013,"금천구",258254
2013,"영등포구",421577
2013,"동작구",421487
2013,"관악구",535128
2013,"서초구",446541
2013,"강남구",569152
2013,"송파구",674955
2013,"강동구",487969
2014,"종로구",165344
2014,"중구",136227
2014,"용산구",249914
2014,"성동구",303891
2014,"광진구",377375
2014,"동대문구",376319
2014,"중랑구",423411
2014,"성북구",475961
2014,"강북구",338410
2014,"도봉구",355712
2014,"노원구",586056
2014,"은평구",503243
2014,"서대문구",320861
2014,"마포구",395830
2014,"양천구",490708
2014,"강서구",591653
2014,"구로구",457131
2014,"금천구",258030
2014,"영등포구",421436
2014,"동작구",419261
2014,"관악구",531960
2014,"서초구",454288
2014,"강남구",583446
2014,"송파구",671794
